id;Period;Data_value;Series_title_2
151;2017.03;51.8;Debit card usage as a proportion of total ECT value
152;2018.03;47.5;Debit card usage as a proportion of total ECT value
153;2019.03;45;Debit card usage as a proportion of total ECT value
154;2020.03;43.9;Debit card usage as a proportion of total ECT value
155;2021.03;38.3;Debit card usage as a proportion of total ECT value
156;2022.03;34.9;Debit card usage as a proportion of total ECT value
157;2000.01;;Credit
158;2000.02;;Credit
159;2000.03;;Credit
160;2000.04;;Credit
161;2000.05;;Credit
162;2000.06;;Credit
163;2000.07;;Credit
164;2000.08;;Credit
165;2000.09;;Credit
166;2000.10;;Credit
167;2000.11;;Credit
168;2000.12;;Credit
169;2001.01;;Credit
170;2001.02;;Credit
171;2001.03;;Credit
172;2001.04;;Credit
173;2001.05;;Credit
174;2001.06;;Credit
175;2001.07;;Credit
176;2001.08;;Credit
177;2001.09;;Credit
178;2001.10;;Credit
179;2001.11;;Credit
180;2001.12;;Credit
181;2002.01;;Credit
182;2002.02;;Credit
183;2002.03;;Credit
184;2002.04;;Credit
185;2002.05;;Credit
186;2002.06;;Credit
187;2002.07;;Credit
188;2002.08;;Credit
189;2002.09;;Credit
190;2002.10;1204.4;Credit
191;2002.11;1291.3;Credit
192;2002.12;1587.8;Credit
193;2003.01;1275.4;Credit
194;2003.02;1246.5;Credit
195;2003.03;1326;Credit
196;2003.04;1215.2;Credit
197;2003.05;1236.9;Credit
198;2003.06;1144.4;Credit
199;2003.07;1270.9;Credit
200;2003.08;1243;Credit
201;2003.09;1238.7;Credit
202;2003.10;1334.8;Credit
203;2003.11;1429.8;Credit
204;2003.12;1797;Credit
205;2004.01;1434.4;Credit
206;2004.02;1414.9;Credit
207;2004.03;1547.6;Credit
208;2004.04;1437.6;Credit
209;2004.05;1417.6;Credit
210;2004.06;1357;Credit
211;2004.07;1470.4;Credit
212;2004.08;1438.5;Credit
213;2004.09;1429.9;Credit
214;2004.10;1513.8;Credit
215;2004.11;1640.9;Credit
216;2004.12;1967.8;Credit
217;2005.01;1551.9;Credit
218;2005.02;1565.5;Credit
219;2005.03;1690.4;Credit
220;2005.04;1575.6;Credit
221;2005.05;1529.3;Credit
222;2005.06;1490.4;Credit
223;2005.07;1604.4;Credit
224;2005.08;1589.3;Credit
225;2005.09;1578.6;Credit
226;2005.10;1656.4;Credit
227;2005.11;1773;Credit
228;2005.12;2114.1;Credit
229;2006.01;1694.8;Credit
230;2006.02;1703.7;Credit
231;2006.03;1901.1;Credit
232;2006.04;1692.9;Credit
233;2006.05;1757.3;Credit
234;2006.06;1664.8;Credit
235;2006.07;1750.5;Credit
236;2006.08;1760.8;Credit
237;2006.09;1717.2;Credit
238;2006.10;1819.8;Credit
239;2006.11;1962.1;Credit
240;2006.12;2337.1;Credit
241;2007.01;1876.6;Credit
242;2007.02;1867.5;Credit
243;2007.03;2065.6;Credit
244;2007.04;1823.6;Credit
245;2007.05;1871.4;Credit
246;2007.06;1787.8;Credit
247;2007.07;1881;Credit
248;2007.08;1894.7;Credit
249;2007.09;1853.5;Credit
250;2007.10;1972.6;Credit
251;2007.11;2156.3;Credit
252;2007.12;2507.8;Credit
253;2008.01;2034.6;Credit
254;2008.02;2074.5;Credit
255;2008.03;2124.5;Credit
256;2008.04;1979.6;Credit
257;2008.05;2016.7;Credit
258;2008.06;1864.1;Credit
259;2008.07;2016.8;Credit
260;2008.08;1969.5;Credit
261;2008.09;1958.4;Credit
262;2008.10;2053.3;Credit
263;2008.11;2072.4;Credit
264;2008.12;2461.2;Credit
265;2009.01;1965.8;Credit
